GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
myCodeCoverage,com.mycompany.mycodecoverage,Student,65,37,0,2,21,13,11,6,11,5
myCodeCoverage,com.mycompany.mycodecoverage,StudentType,15,0,0,0,2,0,1,0,1,0
